Annotations,Path,Manuscript,Description,label,id,saint,prophet,king
"['initiale historiee', 'lettre s', ""lettre d'attente"", 'ps 068 (69) texte', 'ps 068 (69), 02-03', 'scene biblique', 'registres 2', 'dieu biblique', 'aureole crucifere', 'en buste', 'en majeste', 'bras ecartes', 'benissant', 'index et majeur pointes', 'main couverte', 'globe', 'david', 'couronne', 'main ouverte', 'bras leves', 'mains levees', 'tete levee', 'nu', 'dans les eaux', 'hydrographie']",1366300.jpg,"Paris, Bibl. Mazarine, 0018",david dans les eaux du desespoir,['king'],['1366300'],0,0,1
"['initiale historiee', 'lettre e', ""lettre d'attente"", 'ps 080 (81) texte', 'ps 080 (81), 03-04', 'scene biblique', 'david', 'couronne', 'musique', 'clochettes', 'accessoire de musique', 'marteau', 'harpe', 'assis', 'banc', ""pieds a l'equerre""]",1366301.jpg,"Paris, Bibl. Mazarine, 0018",david jouant des clochettes,['king'],['1366301'],0,0,1
"['initiale historiee', 'lettre p', 'prov texte', 'prov 01', 'figure biblique', 'salomon', 'couronne', 'sceptre', 'boule', 'index pointe', 'debout', 'de trois-quarts', ""pieds a l'equerre""]",1366304.jpg,"Paris, Bibl. Mazarine, 0018",salomon roi,['king'],['1366304'],0,0,1
"['initiale historiee', 'lettre u', ""lettre d'attente"", 'eccl texte', 'ecclesiaste (source)', 'figure biblique', 'salomon', 'couronne', 'sceptre', 'boule', 'index pointe', 'debout', 'de trois-quarts', ""pieds a l'equerre""]",1366305.jpg,"Paris, Bibl. Mazarine, 0018",salomon roi,['king'],['1366305'],0,0,1
"['initiale historiee', 'lettre d', 'sap texte', 'figure biblique', 'salomon', 'couronne', 'epee', 'symbole', 'justice', 'debout', 'de trois-quarts', 'main ouverte', 'yeux leves', ""pieds a l'equerre""]",1366307.jpg,"Paris, Bibl. Mazarine, 0018",salomon roi,['king'],['1366307'],0,0,1
"['initiale historiee', 'lettre u', 'is texte', 'figure biblique', 'isaie', 'aureole', 'auteur', 'phylactere', 'debout', 'de trois-quarts', ""pieds a l'equerre"", 'pied pose sur', 'sol symbolique', 'drape flottant']",1366309.jpg,"Paris, Bibl. Mazarine, 0018",isaie,['prophet'],['1366309'],0,1,0
"['initiale historiee', 'lettre u', ""lettre d'attente"", 'jer texte', 'figure biblique', 'jeremie', 'aureole', 'agrippe', 'tete levee', 'de trois-quarts', ""pieds a l'equerre"", 'assis', 'banc']",1366310.jpg,"Paris, Bibl. Mazarine, 0018",jeremie,['prophet'],['1366310'],0,1,0
"['initiale historiee', 'lettre e', 'ez texte', 'figure biblique', 'ezechiel', 'aureole', 'auteur', 'phylactere', 'main ouverte', 'main levee', 'assis', 'de trois-quarts', 'banc']",1366312.jpg,"Paris, Bibl. Mazarine, 0018",ezechiel,['prophet'],['1366312'],0,1,0
"['initiale historiee', 'initiale zoomorphe mixte', 'lettre a', 'dan texte', 'dan 06, 23', 'scene biblique', 'daniel', 'a mi-corps', 'prodige', 'main posee sur', 'caresse', 'lion', ""tete d'animal"", 'grotte', 'relief', 'zoomorphe']",1366313.jpg,"Paris, Bibl. Mazarine, 0018",daniel dans la fosse aux lions,['prophet'],['1366313'],0,1,0
"['initiale historiee', 'lettre u', ""lettre d'attente"", 'os texte', 'os 01, 02-03', 'scene biblique', 'apparition', 'tete de dieu', 'aureole', 'nuee', 'osee', 'gomer', 'couple', 'tete levee', 'geste des deux mains', 'main ouverte', 'mains levees', 'regard', 'acceptation']",1366314.jpg,"Paris, Bibl. Mazarine, 0018",dieu parlant a osee et gomer,['prophet'],['1366314'],0,1,0
"['initiale historiee', 'lettre u', 'jo texte', 'figure biblique', 'joel', 'aureole', 'auteur', 'lecture', 'phylactere', 'debout', 'de trois-quarts', ""pieds a l'equerre"", 'pied pose sur', 'sol symbolique', 'drape flottant']",1366315.jpg,"Paris, Bibl. Mazarine, 0018",joel lisant,['prophet'],['1366315'],0,1,0
"['initiale historiee', 'lettre u', ""lettre d'attente"", 'am texte', 'figure biblique', 'amos', 'aureole', 'auteur', 'phylactere', 'main ouverte', 'main levee', 'debout', 'de trois-quarts', ""pieds a l'equerre"", 'pied pose sur', 'sol symbolique']",1366316.jpg,"Paris, Bibl. Mazarine, 0018",amos,['prophet'],['1366316'],0,1,0
"['initiale historiee', 'lettre u', 'abd texte', 'figure biblique', 'abdias', 'aureole', 'auteur', 'phylactere', 'main ouverte', 'debout', 'de trois-quarts', ""pieds a l'equerre""]",1366317.jpg,"Paris, Bibl. Mazarine, 0018",abdias,['prophet'],['1366317'],0,1,0
"['initiale historiee', 'lettre e', 'jon texte', 'jon 2, 11', 'scene biblique', 'registres 2', 'prodige', 'jonas', 'nu', 'main ouverte', 'mains levees', 'monstre marin', 'gueule de monstre', ""dent d'animal"", 'gueule ouverte', 'crachant', 'hydrographie', 'ninive', 'ville', 'rempart', 'dome', 'porte de ville']",1366318.jpg,"Paris, Bibl. Mazarine, 0018",jonas rejete par le poisson devant ninive,['prophet'],['1366318'],0,1,0
"['initiale historiee', 'lettre u', 'mich texte', 'figure biblique', 'michee', 'aureole', 'auteur', 'lecture', 'phylactere', 'debout', 'de trois-quarts']",1366319.jpg,"Paris, Bibl. Mazarine, 0018",michee lisant,['prophet'],['1366319'],0,1,0
"['initiale historiee', 'lettre o', ""lettre d'attente"", 'nah texte', 'figure biblique', 'nahum', 'aureole', 'auteur', 'livre', 'yeux leves', 'debout', 'de trois-quarts', ""pieds a l'equerre"", 'drape flottant']",1366320.jpg,"Paris, Bibl. Mazarine, 0018",nahum,['prophet'],['1366320'],0,1,0
"['initiale historiee', 'lettre u', 'soph texte', 'figure biblique', 'sophonie', 'aureole', 'auteur', 'livre', 'debout', ""pieds a l'equerre"", 'pied pose sur', 'sol symbolique']",1366322.jpg,"Paris, Bibl. Mazarine, 0018",sophonie,['prophet'],['1366322'],0,1,0
"['initiale historiee', 'lettre i', ""lettre d'attente"", 'zach texte', 'figure biblique', 'zacharie', 'aureole', 'auteur', 'livre', 'tete couverte', 'main couverte', 'main ouverte', 'debout', 'de trois-quarts', 'sol symbolique', 'relief', 'dome', 'toit', 'arcade', 'baie', ""ornement d'architecture""]",1366323.jpg,"Paris, Bibl. Mazarine, 0018",zacharie,['prophet'],['1366323'],0,1,0
"['initiale historiee', 'lettre o', ""lettre d'attente"", 'mal texte', 'figure biblique', 'malachie', 'aureole', 'auteur', 'phylactere', 'tete levee', 'debout', 'de trois-quarts', ""pieds a l'equerre"", 'pied pose sur', 'sol symbolique', 'drape flottant']",1366324.jpg,"Paris, Bibl. Mazarine, 0018",malachie,['prophet'],['1366324'],0,1,0
"['initiale historiee', 'lettre i', ""lettre d'attente"", 'marc texte', 'figures bibliques', 'registres 2', 'saint marc', 'auteur', 'livre', 'main couverte', 'main ouverte', 'tete levee', 'debout', 'de trois-quarts', ""pieds a l'equerre"", 'pied pose sur', 'apparition', 'lion de saint marc', 'aureole', 'nuee', 'tour fortifiee', 'toit', 'baie', 'arcade', 'quadrilobe', ""ornement d'architecture""]",1366328.jpg,"Paris, Bibl. Mazarine, 0018",saint marc et son symbole,['saint'],['1366328'],1,0,0
"['initiale historiee', 'lettre f', 'luc texte', 'luc 01, 08-11', 'scene biblique', 'saint zacharie', 'apparition', 'tete de dieu', 'aureole crucifere', 'nuee', 'regard', 'tete couverte', 'main ouverte', 'encensoir', 'pratique religieuse rituelle', 'autel', 'protome animal']",1366331.jpg,"Paris, Bibl. Mazarine, 0018",annonce a zacharie,['prophet'],['1366331'],0,1,0
"['initiale historiee', 'lettre f', 'luc texte', 'luc 01, 08-11', 'scene biblique', 'saint zacharie', 'apparition', 'tete de dieu', 'aureole crucifere', 'nuee', 'regard', 'tete couverte', 'main ouverte', 'encensoir', 'pratique religieuse rituelle', 'autel', 'protome animal']",1366329.jpg,"Paris, Bibl. Mazarine, 0018",annonce a zacharie,['prophet'],['1366329'],0,1,0
"['initiale historiee', 'lettre i', ""lettre d'attente"", 'joh texte', 'figures bibliques', 'registres 2', 'saint jean', 'auteur', 'livre', 'debout', 'de trois-quarts', 'tete inclinee', ""pieds a l'equerre"", 'pied pose sur', 'apparition', 'aigle de saint jean', 'aureole', 'nuee', 'phylactere', 'clocher', 'toit', 'baie', 'arcade']",1366332.jpg,"Paris, Bibl. Mazarine, 0018",saint jean et son symbole,['saint'],['1366332'],1,0,0
"['initiale historiee', 'lettre p', 'rom texte', 'figure biblique', 'saint paul', 'chauve', 'epee', 'attribut', 'geste des deux mains', 'debout', 'de trois-quarts', ""pieds a l'equerre"", 'prolongement marginal', 'zoomorphe']",1366333.jpg,"Paris, Bibl. Mazarine, 0018",saint paul,['saint'],['1366333'],1,0,0
"['initiale historiee', 'lettre p', 'cor1 texte', 'figure biblique', 'saint paul', 'chauve', 'epee', 'attribut', 'main ouverte', 'tete levee', 'debout', 'de trois-quarts', ""pieds a l'equerre""]",1366334.jpg,"Paris, Bibl. Mazarine, 0018",saint paul,['saint'],['1366334'],1,0,0
"['initiale historiee', 'lettre p', ""lettre d'attente"", 'cor2 texte', 'figure biblique', 'saint paul', 'auteur', 'phylactere', 'chauve', 'debout', 'de trois-quarts', ""pieds a l'equerre"", 'pied pose sur', 'sol symbolique', 'drape flottant']",1366335.jpg,"Paris, Bibl. Mazarine, 0018",saint paul,['saint'],['1366335'],1,0,0
"['initiale historiee', 'lettre p', 'gal texte', 'figure biblique', 'saint paul', 'chauve', 'epee', 'attribut', 'tete levee', 'main sur sa poitrine', 'debout', 'de trois-quarts', ""pieds a l'equerre""]",1366336.jpg,"Paris, Bibl. Mazarine, 0018",saint paul,['saint'],['1366336'],1,0,0
"['initiale historiee', 'lettre p', 'eph texte', 'figure biblique', 'saint paul', 'chauve', 'epee', 'attribut', 'main ouverte', 'debout', 'de trois-quarts', ""pieds a l'equerre"", 'pied pose sur', 'sol symbolique', 'drape flottant']",1366337.jpg,"Paris, Bibl. Mazarine, 0018",saint paul,['saint'],['1366337'],1,0,0
"['initiale historiee', 'lettre p', 'phil texte', 'figure biblique', 'saint paul', 'chauve', 'epee', 'attribut', 'main ouverte', 'debout', 'de trois-quarts', ""pieds a l'equerre"", 'pied pose sur', 'sol symbolique']",1366338.jpg,"Paris, Bibl. Mazarine, 0018",saint paul,['saint'],['1366338'],1,0,0
"['initiale historiee', 'lettre p', 'col texte', 'figure biblique', 'saint paul', 'chauve', 'epee', 'attribut', 'main ouverte', 'debout', 'de trois-quarts', ""pieds a l'equerre"", 'protome animal']",1366339.jpg,"Paris, Bibl. Mazarine, 0018",saint paul,['saint'],['1366339'],1,0,0
"['initiale historiee', 'lettre p', 'thess1 texte', 'figure biblique', 'saint paul', 'auteur', 'chauve', 'phylactere', 'debout', 'de trois-quarts', ""pieds a l'equerre"", 'pied pose sur', 'sol symbolique', 'drape flottant']",1366340.jpg,"Paris, Bibl. Mazarine, 0018",saint paul,['saint'],['1366340'],1,0,0
"['initiale historiee', 'lettre m', 'heb texte', 'heb (source)', 'scene biblique', 'saint paul', 'chauve', 'livre', 'main couverte', 'main ouverte', 'tete levee', 'relation par paroles', 'juif', 'chapeau pointu', ""pieds a l'equerre"", 'main posee sur', 'pied pose sur', 'sol symbolique']",1366344.jpg,"Paris, Bibl. Mazarine, 0018",saint paul s'adressant a un juif,['saint'],['1366344'],1,0,0
"['initiale historiee', 'lettre p', 'petr1 texte', 'figure biblique', 'saint pierre', 'auteur', 'vieux', 'tonsure', 'attribut', 'cle', 'livre', 'main couverte', 'de trois-quarts']",1366346.jpg,"Paris, Bibl. Mazarine, 0018",saint pierre,['saint'],['1366346'],1,0,0
"['initiale historiee', 'lettre s', ""lettre d'attente"", 'petr2 texte', 'figure biblique', 'saint pierre', 'auteur', 'vieux', 'tonsure', 'phylactere', 'debout', 'de trois-quarts', ""pieds a l'equerre"", 'pied pose sur', 'sol symbolique', 'drape flottant']",1366347.jpg,"Paris, Bibl. Mazarine, 0018",saint pierre,['saint'],['1366347'],1,0,0
"['initiale historiee', 'initiale zoomorphe mixte', 'lettre q', 'joh1 texte', 'figure biblique', 'saint jean', 'auteur', 'phylactere', 'main ouverte', 'main levee', 'tete tournee', 'debout', 'drape flottant', 'zoomorphe', 'mordant']",1366348.jpg,"Paris, Bibl. Mazarine, 0018",saint jean,['saint'],['1366348'],1,0,0
"['initiale historiee', 'lettre s', ""lettre d'attente"", 'joh2 texte', 'figure biblique', 'saint jean', 'main ouverte', 'main levee', 'debout', 'de trois-quarts', ""pieds a l'equerre""]",1366349.jpg,"Paris, Bibl. Mazarine, 0018",saint jean,['saint'],['1366349'],1,0,0
"['initiale historiee', 'initiale zoomorphe mixte', 'lettre a', 'apoc texte', 'apoc 01, 04', 'scene biblique', 'saint jean', 'auteur', 'ecriture', 'pupitre', 'livre ouvert', 'feuillet regle', 'grattoir', ""instrument d'ecriture"", 'assis', 'de profil', 'terre', 'relief', 'clocher', 'toit', 'zoomorphe']",1366352.jpg,"Paris, Bibl. Mazarine, 0018",saint jean ecrivant aux sept eglises,['saint'],['1366352'],1,0,0
"['initiale historiee', 'lettre f', 'lettre a paulin', 'figure', 'saint jerome', 'auteur', 'eveque', 'en buste', 'mitre', 'barbe']",1357332.jpg,"Paris, Bibl. Sainte-Genevi̬ve, 1177",saint jerome,['saint'],['1357332'],1,0,0
"['initiale historiee', 'lettre f', 'lettre a paulin', 'figure', 'saint jerome', 'auteur', 'eveque', 'en buste', 'mitre', 'barbe']",1357331.jpg,"Paris, Bibl. Sainte-Genevi̬ve, 1177",saint jerome,['saint'],['1357331'],1,0,0
"['initiale historiee', 'lettre d', 'pent prol texte', 'figure', 'saint jerome', 'auteur', 'eveque', 'en buste', 'mitre', 'barbe']",1357334.jpg,"Paris, Bibl. Sainte-Genevi̬ve, 1177",saint jerome,['saint'],['1357334'],1,0,0
"['initiale historiee', 'lettre d', 'pent prol texte', 'figure', 'saint jerome', 'auteur', 'eveque', 'en buste', 'mitre', 'barbe']",1357333.jpg,"Paris, Bibl. Sainte-Genevi̬ve, 1177",saint jerome,['saint'],['1357333'],1,0,0
"['initiale historiee', 'lettre l', 'num texte', 'scene biblique', 'vision', 'main de dieu', 'nuee', 'jeune homme', 'moise', 'mains levees', 'buisson']",1357356.jpg,"Paris, Bibl. Sainte-Genevi̬ve, 1177",dieu parlant a moise (a preciser) - buisson ardent (le),['prophet'],['1357356'],0,1,0
"['initiale historiee', 'lettre l', 'num texte', 'scene biblique', 'vision', 'main de dieu', 'nuee', 'jeune homme', 'moise', 'mains levees', 'buisson']",1357355.jpg,"Paris, Bibl. Sainte-Genevi̬ve, 1177",dieu parlant a moise (a preciser) - buisson ardent (le),['prophet'],['1357355'],0,1,0
"['initiale historiee', 'lettre t', 'jos prol', 'figure', 'saint jerome', 'auteur', 'a mi-corps', 'tete inclinee', 'de trois-quarts', 'chapeau de cardinal', 'manteau']",1357361.jpg,"Paris, Bibl. Sainte-Genevi̬ve, 1177",saint jerome,['saint'],['1357361'],1,0,0
"['initiale historiee', 'lettre t', 'jos prol', 'figure', 'saint jerome', 'auteur', 'a mi-corps', 'tete inclinee', 'de trois-quarts', 'chapeau de cardinal', 'manteau']",1357360.jpg,"Paris, Bibl. Sainte-Genevi̬ve, 1177",saint jerome,['saint'],['1357360'],1,0,0
"['initiale historiee', 'lettre f', 'reg1 texte', 'scene biblique', 'reg1 16, 13', 'samuel', 'debout', 'de profil', 'portant', 'corne', 'verser', 'huile', 'onction', 'saul', 'agenouille', 'a mi-corps', 'de trois-quarts', 'mains jointes']",1357371.jpg,"Paris, Bibl. Sainte-Genevi̬ve, 1177",onction de saul par samuel,['king'],['1357371'],0,0,1
"['initiale historiee', 'lettre f', 'reg1 texte', 'scene biblique', 'reg1 16, 13', 'samuel', 'debout', 'de profil', 'portant', 'corne', 'verser', 'huile', 'onction', 'saul', 'agenouille', 'a mi-corps', 'de trois-quarts', 'mains jointes']",1357370.jpg,"Paris, Bibl. Sainte-Genevi̬ve, 1177",onction de saul par samuel,['king'],['1357370'],0,0,1
"['initiale historiee', 'lettre e', 'reg3 texte', 'figure biblique', 'david', 'en buste', 'roi', 'vieux', 'barbe', 'de trois-quarts', 'couronne']",1357377.jpg,"Paris, Bibl. Sainte-Genevi̬ve, 1177",david roi,['king'],['1357377'],0,0,1
"['initiale historiee', 'lettre e', 'reg3 texte', 'figure biblique', 'david', 'en buste', 'roi', 'vieux', 'barbe', 'de trois-quarts', 'couronne']",1357376.jpg,"Paris, Bibl. Sainte-Genevi̬ve, 1177",david roi,['king'],['1357376'],0,0,1
"['initiale historiee', 'lettre s', 'par prol texte', 'figure', 'saint jerome', 'auteur', 'en buste', 'chapeau de cardinal', 'barbe']",1357381.jpg,"Paris, Bibl. Sainte-Genevi̬ve, 1177",saint jerome,['saint'],['1357381'],1,0,0
"['initiale historiee', 'lettre s', 'par prol texte', 'figure', 'saint jerome', 'auteur', 'en buste', 'chapeau de cardinal', 'barbe']",1357380.jpg,"Paris, Bibl. Sainte-Genevi̬ve, 1177",saint jerome,['saint'],['1357380'],1,0,0
"['initiale historiee', 'lettre c', 'par2 texte', 'figure biblique', 'salomon', 'en buste', 'de trois-quarts', 'barbe', 'couronne', 'fourrure']",1357384.jpg,"Paris, Bibl. Sainte-Genevi̬ve, 1177",salomon roi,['king'],['1357384'],0,0,1
"['initiale historiee', 'lettre c', 'par2 texte', 'figure biblique', 'salomon', 'en buste', 'de trois-quarts', 'barbe', 'couronne', 'fourrure']",1357383.jpg,"Paris, Bibl. Sainte-Genevi̬ve, 1177",salomon roi,['king'],['1357383'],0,0,1
"['initiale historiee', 'lettre c', 'tob prol texte', 'figure', 'saint jerome', 'auteur', 'en buste', 'de trois-quarts', 'chapeau de cardinal', 'capuchon']",1357390.jpg,"Paris, Bibl. Sainte-Genevi̬ve, 1177",saint jerome,['saint'],['1357390'],1,0,0
"['initiale historiee', 'lettre c', 'tob prol texte', 'figure', 'saint jerome', 'auteur', 'en buste', 'de trois-quarts', 'chapeau de cardinal', 'capuchon']",1357389.jpg,"Paris, Bibl. Sainte-Genevi̬ve, 1177",saint jerome,['saint'],['1357389'],1,0,0
"['initiale historiee', 'lettre a', 'jud prol texte', 'figure', 'saint jerome', 'auteur', 'a mi-corps', 'de trois-quarts', 'barbe', 'chapeau de cardinal', 'capuchon', 'froc']",1357393.jpg,"Paris, Bibl. Sainte-Genevi̬ve, 1177",saint jerome,['saint'],['1357393'],1,0,0
"['initiale historiee', 'lettre a', 'jud prol texte', 'figure', 'saint jerome', 'auteur', 'a mi-corps', 'de trois-quarts', 'barbe', 'chapeau de cardinal', 'capuchon', 'froc']",1357392.jpg,"Paris, Bibl. Sainte-Genevi̬ve, 1177",saint jerome,['saint'],['1357392'],1,0,0
"['initiale historiee', 'lettre l', 'esth prol texte', 'figure', 'saint jerome', 'auteur', 'a mi-corps', 'de trois-quarts', 'mains jointes', 'chapeau de cardinal', 'capuchon', 'froc']",1357398.jpg,"Paris, Bibl. Sainte-Genevi̬ve, 1177",saint jerome,['saint'],['1357398'],1,0,0
"['initiale historiee', 'lettre l', 'esth prol texte', 'figure', 'saint jerome', 'auteur', 'a mi-corps', 'de trois-quarts', 'mains jointes', 'chapeau de cardinal', 'capuchon', 'froc']",1357397.jpg,"Paris, Bibl. Sainte-Genevi̬ve, 1177",saint jerome,['saint'],['1357397'],1,0,0
"['initiale historiee', 'lettre c', 'job prol texte', 'figure', 'saint jerome', 'auteur', 'en buste', 'chapeau de cardinal', 'capuchon', 'froc']",1357402.jpg,"Paris, Bibl. Sainte-Genevi̬ve, 1177",saint jerome,['saint'],['1357402'],1,0,0
"['initiale historiee', 'lettre c', 'job prol texte', 'figure', 'saint jerome', 'auteur', 'en buste', 'chapeau de cardinal', 'capuchon', 'froc']",1357401.jpg,"Paris, Bibl. Sainte-Genevi̬ve, 1177",saint jerome,['saint'],['1357401'],1,0,0
"['initiale historiee', 'lettre d', 'ps prol texte', 'figure', 'saint jerome', 'auteur', 'en buste', 'barbe', 'chapeau de cardinal', 'capuchon', 'froc']",1357406.jpg,"Paris, Bibl. Sainte-Genevi̬ve, 1177",saint jerome,['saint'],['1357406'],1,0,0
"['initiale historiee', 'lettre p', 'ps prol texte', 'figure', 'saint jerome', 'auteur', 'de profil', 'a mi-corps', 'barbe', 'chapeau de cardinal', 'capuchon', 'froc']",1357407.jpg,"Paris, Bibl. Sainte-Genevi̬ve, 1177",saint jerome,['saint'],['1357407'],1,0,0
"['initiale historiee', 'lettre b', 'ps 001 texte', 'scene biblique', 'dieu biblique', 'en buste', 'aureole crucifere', 'david', 'a mi-corps', 'de trois-quarts', 'vieux', 'tete levee', 'yeux leves', 'couronne', 'aureole', 'barbe', 'manteau', 'psalterion']",1357409.jpg,"Paris, Bibl. Sainte-Genevi̬ve, 1177",david jouant du psalterion et dieu,['king'],['1357409'],0,0,1
"['initiale historiee', 'lettre d', 'ps 026 (27) texte', 'scene biblique', 'ps 026 (27), 01', 'david', 'roi', 'en buste', 'de trois-quarts', 'designation', 'oeil', 'couronne', 'barbe']",1357414.jpg,"Paris, Bibl. Sainte-Genevi̬ve, 1177",david designant ses yeux,['king'],['1357414'],0,0,1
"['initiale historiee', 'lettre d', 'ps 026 (27) texte', 'scene biblique', 'ps 026 (27), 01', 'david', 'roi', 'en buste', 'de trois-quarts', 'designation', 'oeil', 'couronne', 'barbe']",1357413.jpg,"Paris, Bibl. Sainte-Genevi̬ve, 1177",david designant ses yeux,['king'],['1357413'],0,0,1
"['initiale historiee', 'lettre d', 'ps 038 (39), 02', 'scene biblique', 'ps 038 (39) texte', 'david', 'vieux', 'roi', 'a mi-corps', 'de profil', 'designation', 'bouche', 'barbe', 'couronne']",1357416.jpg,"Paris, Bibl. Sainte-Genevi̬ve, 1177",david designant sa bouche,['king'],['1357416'],0,0,1
"['initiale historiee', 'lettre d', 'ps 038 (39), 02', 'scene biblique', 'ps 038 (39) texte', 'david', 'vieux', 'roi', 'a mi-corps', 'de profil', 'designation', 'bouche', 'barbe', 'couronne']",1357415.jpg,"Paris, Bibl. Sainte-Genevi̬ve, 1177",david designant sa bouche,['king'],['1357415'],0,0,1
"['initiale historiee', 'lettre s', 'ps 068 (69) texte', 'scene biblique', 'ps 068 (69), 02-03', 'david', 'roi', 'dans les eaux', 'transparence', 'a mi-corps', 'de trois-quarts', 'couronne', 'aureole', 'nu', 'tete levee', 'mains jointes', 'priere']",1357421.jpg,"Paris, Bibl. Sainte-Genevi̬ve, 1177",david dans les eaux du desespoir,['king'],['1357421'],0,0,1
